# NucProt type set of Atom Volumes
#
# Generated: Mon Sep 27 17:29:34 2004
# Input file simplify.out
# v 3.2 2/26/04
# Output file atomvol-simp.dat
# Atom file atom-defs.dat
# Type 'rna'
#
#
#

type 	count	%[OK]	rad 	median	 mode	 mean 	 sd 	10%ile	90%ile	skew 	kurt 	num	atoms
-----	-----	-----	----	------	-----	------	----	-----	-----	-----	-----	---	----------------------------------------
C3H0s	 7592	91.9%	1.61	  9.14	 8.97	 9.231	0.58	 8.59	 9.98	 0.99	 1.80	  1	0
C3H1b	  319	25.4%	1.76	 19.57	18.70	19.598	1.49	17.80	21.57	 0.19	 0.30	  1	0
C3H1s	 1122	47.5%	1.76	 18.26	17.44	18.274	1.51	16.37	20.19	 0.22	 0.29	  1	0
C3H1t	  568	45.3%	1.76	 17.09	16.53	17.216	1.21	15.79	18.88	 0.48	 0.42	  1	0
C4H1b	 2680	46.6%	1.88	 13.44	13.25	13.471	0.94	12.32	14.70	 0.07	 0.22	  1	0
C4H1s	 4478	77.9%	1.88	 12.72	12.64	12.822	0.75	12.03	13.74	 1.04	 2.75	  1	0
C4H2s	  445	15.5%	1.88	 22.01	22.68	21.956	1.81	19.79	24.23	-0.18	 0.27	  1	0
N2H0b	 1818	56.0%	1.64	 15.13	14.98	15.276	1.48	13.55	17.11	 0.65	 1.04	  1	0
N2H0s	 1198	81.4%	1.64	 13.31	12.59	13.594	1.22	12.37	15.27	 1.45	 3.55	  1	0
N3H0u	 2670	92.8%	1.64	  8.75	 8.85	 8.780	0.41	 8.30	 9.32	 0.48	 0.45	  1	0
N3H1s	 1222	87.0%	1.64	 13.43	13.16	13.688	1.07	12.60	15.07	 1.39	 2.72	  1	0
N3H2u	 1077	45.8%	1.64	 22.09	21.55	22.214	1.86	20.01	24.61	 0.37	 0.27	  1	0
O1H0u	 2604	31.0%	1.42	 15.80	15.48	16.085	2.05	13.88	18.63	 1.00	 2.13	  1	0
O2H0b	 2344	40.8%	1.62	 13.89	13.96	13.980	1.22	12.51	15.48	 0.47	 0.65	  1	0
O2H0s	 1762	61.3%	1.50	 12.64	12.83	12.749	1.31	11.22	14.42	 0.68	 0.94	  1	0
O2H1u	 1204	41.9%	1.46	 16.86	16.74	17.103	1.92	14.92	19.48	 0.85	 1.22	  1	0
P4H0u	 1079	37.6%	1.82	 11.85	11.79	11.837	0.22	11.53	12.12	-0.41	 0.17	  1	0
